id,party_id,name
172,Labour,"Abbott, Ms Diane"
4212,Labour,"Abrahams, Debbie"
4138,Labour,"Ali, Rushanara"
4747,Labour,"Ali, Tahir"
4573,Labour,"Allin-Khan, Dr Rosena"
4667,Labour,"Amesbury, Mike"
4788,Labour,"Anderson, Fleur"
4743,Reform UK,"Anderson, Lee"
4742,Conservative,"Anderson, Stuart"
4032,Conservative,"Andrew, Stuart"
4623,Labour,"Antoniazzi, Tonia"
4362,Conservative,"Argar, Edward"
4399,Conservative,"Atkins, Victoria"
4798,Conservative,"Bacon, Gareth"
4597,Conservative,"Badenoch, Mrs Kemi"
4107,Conservative,"Baldwin, Dame Harriett"
4095,Conservative,"Barclay, Steve"
4828,Labour,"Barker, Paula"
4697,Sinn Féin,"Begley, Órfhlaith"
4790,Independent,"Begum, Apsana"
413,Labour,"Benn, Hilary"
394,Labour,"Betts, Mr Clive"
4818,Conservative,"Bhatti, Saqib"
4005,Conservative,"Blackman, Bob"
4357,Scottish National Party,"Blackman, Kirsty"
4864,Labour,"Blake, Olivia"
4601,Conservative,"Bowie, Andrew"
4110,Conservative,"Bradley, Dame Karen"
4475,Conservative,"Braverman, Suella"
1446,Labour,"Bryant, Chris"
4613,Conservative,"Burghart, Alex"
4493,Independent,"Burgon, Richard"
1489,Labour,"Butler, Dawn"
4831,Independent,"Byrne, Ian"
1171,Labour,"Byrne, Liam"
4389,Labour,"Cadbury, Ruth"
529,Labour,"Campbell, Sir Alan"
1409,Democratic Unionist Party,"Campbell, Mr Gregory"
4651,Labour,"Carden, Dan"
1442,Liberal Democrat,"Carmichael, Mr Alistair"
4519,Conservative,"Cartlidge, James"
4765,Liberal Democrat,"Chamberlain, Wendy"
4267,Labour,"Champion, Sarah"
4610,Labour,"Charalambous, Bambos"
242,Conservative,"Chope, Sir Christopher"
4822,Labour,"Clark, Feryal"
4366,Conservative,"Cleverly, Mr James"
249,Conservative,"Clifton-Brown, Sir Geoffrey"
4769,Liberal Democrat,"Cooper, Daisy"
420,Labour,"Cooper, Yvette"
185,Independent,"Corbyn, Jeremy"
4439,Conservative,"Costa, Alberto"
4806,Conservative,"Coutinho, Claire"
1508,Conservative,"Cox, Sir Geoffrey"
4368,Labour,"Coyle, Neil"
4088,Labour (Co-op),"Creasy, Ms Stella"
4391,Labour,"Cummins, Judith"
4698,Labour,"Daby, Janet"
4981,Labour,"Dalton, Ashley"
188,Liberal Democrat,"Davey, Ed"
4850,Conservative,"Davies, Gareth"
4513,Conservative,"Davies, Mims"
4849,Labour,"Davies-Jones, Alex"
373,Conservative,"Davis, David"
4676,Labour,"De Cordova, Marsha"
4638,Labour,"Dhesi, Mr Tanmanjeet Singh"
4008,Conservative,"Dinenage, Dame Caroline"
4976,Labour,"Dixon, Samantha"
4657,Labour (Co-op),"Dodds, Anneliese"
4736,Scottish National Party,"Doogan, Dave"
4264,Labour (Co-op),"Doughty, Stephen"
4397,Labour,"Dowd, Peter"
4441,Conservative,"Dowden, Sir Oliver"
4616,Labour,"Duffield, Rosie"
152,Conservative,"Duncan Smith, Sir Iain"
4995,Liberal Democrat,"Dyke, Sarah"
491,Labour,"Eagle, Dame Angela"
483,Labour,"Eagle, Maria"
4846,Social Democratic & Labour Party,"Eastwood, Colum"
5001,Labour,"Edwards, Sarah"
165,Labour,"Efford, Clive"
5010,Labour,"Egan, Damien"
4572,Labour,"Elmore, Chris"
4870,Labour (Co-op),"Eshalomi, Florence"
4061,Labour,"Esterson, Bill"
4040,Labour (Co-op),"Evans, Chris"
4781,Conservative,"Evans, Dr Luke"
1591,Liberal Democrat,"Farron, Tim"
