,id,party,name
0,172,Labour,"Abbott, Ms Diane"
1,4212,Labour,"Abrahams, Debbie"
2,645,Sinn Féin,"Adams, Mr Gerry"
3,4057,Conservative,"Adams, Nigel"
4,4639,Conservative,"Afolami, Bim"
5,1586,Conservative,"Afriyie, Adam"
6,4841,Independent,"Ahmad Khan, Imran"
7,4427,Scottish National Party,"Ahmed-Sheikh, Ms Tasmina"
8,4741,Conservative,"Aiken, Nickie"
9,306,Labour,"Ainsworth, Mr Bob"
10,4069,Conservative,"Aldous, Peter"
11,1535,Liberal Democrat,"Alexander, Danny"
12,632,Labour (Co-op),"Alexander, Mr Douglas"
13,4038,Labour,"Alexander, Heidi"
14,4138,Labour,"Ali, Rushanara"
15,4747,Labour,"Ali, Tahir"
16,4411,Independent,"Allan, Lucy"
17,364,Labour,"Allen, Mr Graham"
18,4516,Liberal Democrat,"Allen, Heidi"
19,4573,Labour,"Allin-Khan, Dr Rosena"
20,4667,Labour,"Amesbury, Mike"
21,44,Conservative,"Amess, Sir David"
22,1486,Labour,"Anderson, Mr David"
23,4788,Labour,"Anderson, Fleur"
24,4743,Reform UK,"Anderson, Lee"
25,4742,Conservative,"Anderson, Stuart"
26,4032,Conservative,"Andrew, Stuart"
27,4512,Conservative,"Ansell, Caroline"
28,4623,Labour,"Antoniazzi, Tonia"
29,4362,Conservative,"Argar, Edward"
30,4387,Scottish National Party,"Arkless, Richard"
31,4244,Labour (Co-op),"Ashworth, Jonathan"
32,4855,Conservative,"Atherton, Sarah"
33,4399,Conservative,"Atkins, Victoria"
34,4798,Conservative,"Bacon, Gareth"
35,1451,Conservative,"Bacon, Mr Richard"
36,4597,Conservative,"Badenoch, Mrs Kemi"
37,320,Labour (Co-op),"Bailey, Mr Adrian"
38,4757,Conservative,"Bailey, Shaun"
39,4847,Conservative,"Baillie, Siobhan"
40,1610,Labour,"Bain, Mr William"
41,4784,Conservative,"Baker, Duncan"
42,28,Liberal Democrat,"Baker, Norman"
43,4064,Conservative,"Baker, Mr Steve"
44,93,Conservative,"Baldry, Sir Tony"
45,4107,Conservative,"Baldwin, Dame Harriett"
46,1549,Labour (Co-op),"Balls, Ed"
47,1589,Labour,"Banks, Gordon"
48,4095,Conservative,"Barclay, Steve"
49,4486,Scottish National Party,"Bardell, Hannah"
50,4828,Labour,"Barker, Paula"
51,1390,Conservative,"Baron, Mr John"
52,392,Labour,"Barron, Sir Kevin"
53,385,Labour,"Bayley, Sir Hugh"
54,4800,Conservative,"Baynes, Simon"
55,3910,Independent,"Bebb, Guto"
56,328,Labour,"Beckett, Dame Margaret"
57,572,Labour,"Begg, Dame Anne"
58,4697,Sinn Féin,"Begley, Órfhlaith"
59,4790,Independent,"Begum, Apsana"
60,4837,Conservative,"Bell, Aaron"
61,501,Labour,"Bell, Sir Stuart"
62,413,Labour,"Benn, Hilary"
63,479,Labour,"Benton, Mr Joe"
64,4793,Independent,"Benton, Scott"
65,17,Speaker,"Bercow, John"
66,103,Conservative,"Beresford, Sir Paul"
67,4036,Liberal Democrat,"Berger, Luciana"
68,4060,Conservative,"Berry, Sir Jake"
69,4489,Conservative,"Berry, James"
70,394,Labour,"Betts, Mr Clive"
71,4818,Conservative,"Bhatti, Saqib"
72,3994,Conservative,"Bingham, Andrew"
73,1550,Conservative,"Binley, Mr Brian"
74,3946,Liberal Democrat,"Birtwistle, Gordon"
75,4421,Scottish National Party,"Black, Mhairi"
76,4390,Scottish National Party,"Blackford, Ian"
77,4005,Conservative,"Blackman, Bob"
78,4357,Scottish National Party,"Blackman, Kirsty"
79,1501,Labour,"Blackman-Woods, Dr Roberta"
80,4864,Labour,"Blake, Olivia"
81,456,Labour,"Blears, Hazel"
82,4037,Labour,"Blenkinsop, Tom"
83,4058,Labour,"Blomfield, Paul"
84,104,Independent,"Blunt, Crispin"
85,3995,Independent,"Boles, Nick"
86,1581,Independent,"Bone, Mr Peter"
87,4748,Scottish National Party,"Bonnar, Steven"
88,4502,Conservative,"Borwick, Victoria"
89,4388,Scottish National Party,"Boswell, Philip"
90,117,Conservative,"Bottomley, Sir Peter"
91,4601,Conservative,"Bowie, Andrew"
92,4588,Labour (Co-op),"Brabin, Tracy"
93,4663,Conservative,"Bradley, Ben"
94,4110,Conservative,"Bradley, Dame Karen"
95,230,Labour,"Bradshaw, Mr Ben"
96,435,Conservative,"Brady, Sir Graham"
97,4373,Sinn Féin,"Brady, Mickey"
98,151,Liberal Democrat,"Brake, Tom"
99,4475,Conservative,"Braverman, Suella"
100,77,Conservative,"Brazier, Sir Julian"
101,1400,Labour,"Brennan, Kevin"
102,4643,Conservative,"Brereton, Jack"
103,4133,Independent,"Bridgen, Andrew"
104,4067,Conservative,"Brine, Steve"
105,4792,Conservative,"Bristow, Paul"
106,4838,Conservative,"Britcliffe, Sara"
107,4417,Scottish National Party,"Brock, Deidre"
108,1530,Conservative,"Brokenshire, James"
109,1431,Liberal Democrat,"Brooke, Annette"
110,4470,Scottish National Party,"Brown, Alan"
111,591,Labour,"Brown, Mr Gordon"
112,1583,Labour,"Brown, Ms Lyn"
113,523,Independent,"Brown, Mr Nicholas"
114,588,Labour,"Brown, Mr Russell"
115,4801,Conservative,"Browne, Anthony"
116,1575,Liberal Democrat,"Browne, Mr Jeremy"
117,3958,Conservative,"Bruce, Fiona"
118,1446,Labour,"Bryant, Chris"
119,4821,Conservative,"Buchan, Felicity"
120,199,Labour,"Buck, Ms Karen"
121,4106,Conservative,"Buckland, Sir Robert"
122,301,Labour,"Burden, Richard"
123,4613,Conservative,"Burghart, Alex"
124,4493,Independent,"Burgon, Richard"
125,3937,Conservative,"Burley, Mr Aidan"
126,1427,Labour,"Burnham, Andy"
127,3922,Conservative,"Burns, Sir Conor"
128,46,Conservative,"Burns, Sir Simon"
129,1518,Conservative,"Burrowes, Mr David"
130,204,Liberal Democrat,"Burstow, Paul"
131,1201,Conservative,"Burt, Alistair"
132,1489,Labour,"Butler, Dawn"
133,4745,Conservative,"Butler, Rob"
134,4112,Conservative,"Byles, Dan"
135,4831,Independent,"Byrne, Ian"
136,1171,Labour,"Byrne, Liam"
137,207,Liberal Democrat,"Cable, Sir Vince"
138,4389,Labour,"Cadbury, Ruth"
139,4086,Conservative,"Cairns, Alun"
140,1421,Labour,"Cairns, David"
141,4770,Scottish National Party,"Callaghan, Amy"
142,4412,Conservative,"Cameron, Dr Lisa"
143,529,Labour,"Campbell, Sir Alan"
144,1409,Democratic Unionist Party,"Campbell, Mr Gregory"
145,514,Labour,"Campbell, Mr Ronnie"
146,4651,Labour,"Carden, Dan"
147,1442,Liberal Democrat,"Carmichael, Mr Alistair"
148,4104,Conservative,"Carmichael, Neil"
149,1527,Independent,"Carswell, Mr Douglas"
150,4791,Conservative,"Carter, Andy"
151,4519,Conservative,"Cartlidge, James"
152,288,Conservative,"Cash, Sir William"
153,4865,Conservative,"Cates, Miriam"
154,566,Labour,"Caton, Martin"
155,4492,Conservative,"Caulfield, Maria"
156,4481,Conservative,"Chalk, Alex"
157,4765,Liberal Democrat,"Chamberlain, Wendy"
158,4267,Labour,"Champion, Sarah"
159,4402,Scottish National Party,"Chapman, Douglas"
160,4610,Labour,"Charalambous, Bambos"
161,4419,Scottish National Party,"Cherry, Joanna"
162,3987,Conservative,"Chishti, Rehman"
163,242,Conservative,"Chope, Sir Christopher"
164,4380,Conservative,"Churchill, Jo"
165,67,Conservative,"Clappison, Mr James"
166,4650,Conservative,"Clark, Colin"
167,4822,Labour,"Clark, Feryal"
168,1578,Conservative,"Clark, Greg"
169,4655,Conservative,"Clarke, Sir Simon"
170,4819,Conservative,"Clarke, Theo"
171,583,Labour,"Clarke, Mr Tom"
172,4756,Conservative,"Clarke-Smith, Brendan"
173,4835,Conservative,"Clarkson, Chris"
174,1563,Liberal Democrat,"Clegg, Mr Nick"
175,4366,Conservative,"Cleverly, Mr James"
176,249,Conservative,"Clifton-Brown, Sir Geoffrey"
177,553,Labour,"Clwyd, Ann"
178,458,The Independent Group for Change,"Coffey, Ann"
179,4098,Conservative,"Coffey, Dr Thérèse"
180,4775,Conservative,"Colburn, Elliot"
181,3986,Conservative,"Collins, Damian"
182,4022,Conservative,"Colvile, Oliver"
183,602,Labour,"Connarty, Michael"
184,4769,Liberal Democrat,"Cooper, Daisy"
185,4405,Labour,"Cooper, Julie"
186,1538,Labour,"Cooper, Rosie"
187,420,Labour,"Cooper, Yvette"
188,185,Independent,"Corbyn, Jeremy"
189,4439,Conservative,"Costa, Alberto"
190,4589,Conservative,"Courts, Robert"
191,4806,Conservative,"Coutinho, Claire"
192,4465,Scottish National Party,"Cowan, Ronnie"
193,1508,Conservative,"Cox, Sir Geoffrey"
194,4375,Labour,"Cox, Jo"
195,4368,Labour,"Coyle, Neil"
196,1554,Conservative,"Crabb, Stephen"
197,437,Labour,"Crausby, Sir David"
198,4469,Scottish National Party,"Crawley, Angela"
199,1579,Labour,"Creagh, Mary"
200,4088,Labour (Co-op),"Creasy, Ms Stella"
