,id,party,name
0,172,Labour,"Abbott, Ms Diane"
1,4212,Labour,"Abrahams, Debbie"
2,4057,Conservative,"Adams, Nigel"
3,4639,Conservative,"Afolami, Bim"
4,1586,Conservative,"Afriyie, Adam"
5,4841,Independent,"Ahmad Khan, Imran"
6,4741,Conservative,"Aiken, Nickie"
7,4069,Conservative,"Aldous, Peter"
8,4138,Labour,"Ali, Rushanara"
9,4747,Labour,"Ali, Tahir"
10,4411,Independent,"Allan, Lucy"
11,4516,Liberal Democrat,"Allen, Heidi"
12,4573,Labour,"Allin-Khan, Dr Rosena"
13,4667,Labour,"Amesbury, Mike"
14,44,Conservative,"Amess, Sir David"
15,4788,Labour,"Anderson, Fleur"
16,4743,Reform UK,"Anderson, Lee"
17,4742,Conservative,"Anderson, Stuart"
18,4032,Conservative,"Andrew, Stuart"
19,4512,Conservative,"Ansell, Caroline"
20,4623,Labour,"Antoniazzi, Tonia"
21,4362,Conservative,"Argar, Edward"
22,4244,Labour (Co-op),"Ashworth, Jonathan"
23,4855,Conservative,"Atherton, Sarah"
24,4399,Conservative,"Atkins, Victoria"
25,4798,Conservative,"Bacon, Gareth"
26,1451,Conservative,"Bacon, Mr Richard"
27,4597,Conservative,"Badenoch, Mrs Kemi"
28,320,Labour (Co-op),"Bailey, Mr Adrian"
29,4757,Conservative,"Bailey, Shaun"
30,4847,Conservative,"Baillie, Siobhan"
31,4784,Conservative,"Baker, Duncan"
32,4064,Conservative,"Baker, Mr Steve"
33,4107,Conservative,"Baldwin, Dame Harriett"
34,4095,Conservative,"Barclay, Steve"
35,4486,Scottish National Party,"Bardell, Hannah"
36,4828,Labour,"Barker, Paula"
37,1390,Conservative,"Baron, Mr John"
38,392,Labour,"Barron, Sir Kevin"
39,4800,Conservative,"Baynes, Simon"
40,3910,Independent,"Bebb, Guto"
41,328,Labour,"Beckett, Dame Margaret"
42,4697,Sinn Féin,"Begley, Órfhlaith"
43,4790,Independent,"Begum, Apsana"
44,4837,Conservative,"Bell, Aaron"
45,413,Labour,"Benn, Hilary"
46,4793,Independent,"Benton, Scott"
47,17,Speaker,"Bercow, John"
48,103,Conservative,"Beresford, Sir Paul"
49,4036,Liberal Democrat,"Berger, Luciana"
50,4060,Conservative,"Berry, Sir Jake"
51,394,Labour,"Betts, Mr Clive"
52,4818,Conservative,"Bhatti, Saqib"
53,4421,Scottish National Party,"Black, Mhairi"
54,4390,Scottish National Party,"Blackford, Ian"
55,4005,Conservative,"Blackman, Bob"
56,4357,Scottish National Party,"Blackman, Kirsty"
57,1501,Labour,"Blackman-Woods, Dr Roberta"
58,4864,Labour,"Blake, Olivia"
59,4058,Labour,"Blomfield, Paul"
60,104,Independent,"Blunt, Crispin"
61,3995,Independent,"Boles, Nick"
62,1581,Independent,"Bone, Mr Peter"
63,4748,Scottish National Party,"Bonnar, Steven"
64,117,Conservative,"Bottomley, Sir Peter"
65,4601,Conservative,"Bowie, Andrew"
66,4588,Labour (Co-op),"Brabin, Tracy"
67,4663,Conservative,"Bradley, Ben"
68,4110,Conservative,"Bradley, Dame Karen"
69,230,Labour,"Bradshaw, Mr Ben"
70,435,Conservative,"Brady, Sir Graham"
71,4373,Sinn Féin,"Brady, Mickey"
72,151,Liberal Democrat,"Brake, Tom"
73,4475,Conservative,"Braverman, Suella"
74,1400,Labour,"Brennan, Kevin"
75,4643,Conservative,"Brereton, Jack"
76,4133,Independent,"Bridgen, Andrew"
77,4067,Conservative,"Brine, Steve"
78,4792,Conservative,"Bristow, Paul"
79,4838,Conservative,"Britcliffe, Sara"
80,4417,Scottish National Party,"Brock, Deidre"
81,1530,Conservative,"Brokenshire, James"
82,4470,Scottish National Party,"Brown, Alan"
83,1583,Labour,"Brown, Ms Lyn"
84,523,Independent,"Brown, Mr Nicholas"
85,4801,Conservative,"Browne, Anthony"
86,3958,Conservative,"Bruce, Fiona"
87,1446,Labour,"Bryant, Chris"
88,4821,Conservative,"Buchan, Felicity"
89,199,Labour,"Buck, Ms Karen"
90,4106,Conservative,"Buckland, Sir Robert"
91,301,Labour,"Burden, Richard"
92,4613,Conservative,"Burghart, Alex"
93,4493,Independent,"Burgon, Richard"
94,3922,Conservative,"Burns, Sir Conor"
95,1201,Conservative,"Burt, Alistair"
96,1489,Labour,"Butler, Dawn"
97,4745,Conservative,"Butler, Rob"
98,4831,Independent,"Byrne, Ian"
99,1171,Labour,"Byrne, Liam"
100,207,Liberal Democrat,"Cable, Sir Vince"
101,4389,Labour,"Cadbury, Ruth"
102,4086,Conservative,"Cairns, Alun"
103,4770,Scottish National Party,"Callaghan, Amy"
104,4412,Conservative,"Cameron, Dr Lisa"
105,529,Labour,"Campbell, Sir Alan"
106,1409,Democratic Unionist Party,"Campbell, Mr Gregory"
107,514,Labour,"Campbell, Mr Ronnie"
108,4651,Labour,"Carden, Dan"
109,1442,Liberal Democrat,"Carmichael, Mr Alistair"
110,4791,Conservative,"Carter, Andy"
111,4519,Conservative,"Cartlidge, James"
112,288,Conservative,"Cash, Sir William"
113,4865,Conservative,"Cates, Miriam"
114,4492,Conservative,"Caulfield, Maria"
115,4481,Conservative,"Chalk, Alex"
116,4765,Liberal Democrat,"Chamberlain, Wendy"
117,4267,Labour,"Champion, Sarah"
118,4402,Scottish National Party,"Chapman, Douglas"
119,4610,Labour,"Charalambous, Bambos"
120,4419,Scottish National Party,"Cherry, Joanna"
121,3987,Conservative,"Chishti, Rehman"
122,242,Conservative,"Chope, Sir Christopher"
123,4380,Conservative,"Churchill, Jo"
124,4650,Conservative,"Clark, Colin"
125,4822,Labour,"Clark, Feryal"
126,1578,Conservative,"Clark, Greg"
127,4655,Conservative,"Clarke, Sir Simon"
128,4819,Conservative,"Clarke, Theo"
129,4756,Conservative,"Clarke-Smith, Brendan"
130,4835,Conservative,"Clarkson, Chris"
131,4366,Conservative,"Cleverly, Mr James"
132,249,Conservative,"Clifton-Brown, Sir Geoffrey"
133,553,Labour,"Clwyd, Ann"
134,458,The Independent Group for Change,"Coffey, Ann"
135,4098,Conservative,"Coffey, Dr Thérèse"
136,4775,Conservative,"Colburn, Elliot"
137,3986,Conservative,"Collins, Damian"
138,4769,Liberal Democrat,"Cooper, Daisy"
139,4405,Labour,"Cooper, Julie"
140,1538,Labour,"Cooper, Rosie"
141,420,Labour,"Cooper, Yvette"
142,185,Independent,"Corbyn, Jeremy"
143,4439,Conservative,"Costa, Alberto"
144,4589,Conservative,"Courts, Robert"
145,4806,Conservative,"Coutinho, Claire"
146,4465,Scottish National Party,"Cowan, Ronnie"
147,1508,Conservative,"Cox, Sir Geoffrey"
148,4368,Labour,"Coyle, Neil"
149,1554,Conservative,"Crabb, Stephen"
150,437,Labour,"Crausby, Sir David"
151,4469,Scottish National Party,"Crawley, Angela"
152,1579,Labour,"Creagh, Mary"
153,4088,Labour (Co-op),"Creasy, Ms Stella"
154,4859,Conservative,"Crosbie, Virginia"
155,3950,Conservative,"Crouch, Dame Tracey"
156,1406,Labour,"Cruddas, Jon"
157,181,Labour,"Cryer, John"
158,4391,Labour,"Cummins, Judith"
159,4122,Labour,"Cunningham, Alex"
160,308,Labour,"Cunningham, Mr Jim"
161,4698,Labour,"Daby, Janet"
162,4056,Labour,"Dakin, Sir Nicholas"
163,4981,Labour,"Dalton, Ashley"
164,4854,Conservative,"Daly, James"
165,188,Liberal Democrat,"Davey, Ed"
166,1398,Labour,"David, Wayne"
167,4376,Conservative,"Davies, Chris"
168,1545,Conservative,"Davies, David T C"
169,4850,Conservative,"Davies, Gareth"
170,155,Independent,"Davies, Geraint"
171,4041,Conservative,"Davies, Glyn"
172,4476,Conservative,"Davies, Dr James"
173,4513,Conservative,"Davies, Mims"
174,1565,Conservative,"Davies, Sir Philip"
175,4849,Labour,"Davies-Jones, Alex"
176,373,Conservative,"Davis, David"
177,4737,Conservative,"Davison, Dehenna"
178,4488,Scottish National Party,"Day, Martyn"
179,4676,Labour,"De Cordova, Marsha"
180,3915,Labour,"De Piero, Gloria"
181,4433,Labour,"Debbonaire, Thangam"
182,4683,Labour,"Dent Coad, Emma"
183,4638,Labour,"Dhesi, Mr Tanmanjeet Singh"
184,4008,Conservative,"Dinenage, Dame Caroline"
185,4816,Conservative,"Dines, Miss Sarah"
186,4976,Labour,"Dixon, Samantha"
187,1425,Conservative,"Djanogly, Mr Jonathan"
188,4600,Conservative,"Docherty, Leo"
189,4374,Scottish National Party,"Docherty-Hughes, Martin"
190,4657,Labour (Co-op),"Dodds, Anneliese"
191,4718,Liberal Democrat,"Dodds, Jane"
192,650,Independent,"Donaldson, Sir Jeffrey M"
193,4530,Conservative,"Donelan, Michelle"
194,4736,Scottish National Party,"Doogan, Dave"
195,4740,Scottish National Party,"Dorans, Allan"
196,1481,Conservative,"Dorries, Ms Nadine"
197,4452,Conservative,"Double, Steve"
198,4264,Labour (Co-op),"Doughty, Stephen"
199,4397,Labour,"Dowd, Peter"
200,4441,Conservative,"Dowden, Sir Oliver"
